Post,Posted,OrganicReach,OrganicImpressions,EngagedUsers,Comments,Likes,Shares,LinkClicks,OtherClicks
"The Heart of Missouri Quilters Guild members are prepping for their first show this Saturday and Sunday to benefit and recognize military veterans. The show includes raffles, displays, vendors and more. http://bit.ly/1pKrVEB",4/28/16 11:16,513,817,16,,5,3,6,11
"David Hawley affirmed his suspicion about the whereabouts of the Malta steamboat, Malta Bend's namesake, on Saturday. Hawley has scoured the Missouri River for shipwrecked steamboats for over 30 years. http://bit.ly/1QD1xCx",4/28/16 10:11,5501,9141,202,5,52,15,120,67
"Missouri's softball seniors are unique personalities that make a dynamic trio. As they close out a successful season with plenty of goals still to be accomplished, they'll each be heading for pro teams this summer. http://bit.ly/1SRgKrj",4/28/16 8:08,1053,1769,19,,7,3,7,8
Today's front page features Nixon on budget cuts; the Malta steamboat; and &quot;religious liberties&quot; bill. Check out our e-edition: http://bit.ly/1N1qr4e,4/28/16 6:05,93,148,0,,,,,
"&quot;The reason that I'm doing this work is because my generation has not done the best at protecting the world for your generation,&quot; National Geographic writer Craig Welch said. &quot;I have a young son, and I want this world to be better for him and that generation, and I'm hoping you guys can do a little bit better than I did.&quot;He talked to an audience of 70 Wednesday night about the importance of caring for the Earth. http://bit.ly/1QBRv4K",4/28/16 4:28,1311,2075,28,,11,2,12,11
"&quot;Racism is more like a snake,&quot; Terrell Strayhorn, a professor at Ohio State University, said. &quot;If we're going to go out into this society, we need to learn to be snake handlers.&quot; He spoke about racism and its impact in higher education to an audience of 150 Tuesday afternoon. http://bit.ly/1SLoXKt",4/27/16 20:25,151,190,3,,1,,,2
"A proposed &quot;religious freedom&quot; bill won't make it to the Missouri House of Representatives floor, at least for now. The bill would have provided legal protection to people or businesses denying wedding-related goods and services to same-sex couples based on “sincere religious belief.” http://bit.ly/1Uic4Kd",4/27/16 18:28,2749,4511,149,2,52,2,21,115
The 2017 higher education budget marks the fourth time Gov. Jay Nixon has frozen college tuition since he took office in 2009. http://bit.ly/1rivFyB,4/27/16 15:12,1138,1793,28,,2,1,18,9
"Some might say racism is the &quot;elephant in the room.&quot; Terrell Strayhdorn thinks of racism as more like a snake. &quot;If we're going to go out into this society, we need to learn to be snake handlers,&quot; Strayhorn said. http://bit.ly/1qUBLVv",4/27/16 14:30,384,582,6,,1,,1,5
"MU baseball coach Tim Jamieson admitted this season has been rough, but things are looking up for the Tigers after their 17-9 win over Missouri State on Tuesday night. http://bit.ly/1NU373i",4/27/16 13:15,191,296,3,,1,,1,1
"Columbia Public School teachers may be looking at a roughly 5 percent pay increase and more flexibility for time off. If this contract passes, the increase would end a salary freeze that started in the 2008-09 school year. http://bit.ly/1NTxHtI",4/27/16 12:15,1567,2587,43,,15,1,16,19
UPDATE: Three men were arrested under suspicion of first-degree assault and armed criminal action on Monday after two unrelated shootings left one dead and three injured. http://bit.ly/1QAxWK3,4/27/16 11:06,1218,2241,34,,,,30,5
"After one year at MU, director of athletics Mack Rhoades reflects on the success and hardships of various MU athletic programs. http://bit.ly/1NTncXl",4/27/16 10:30,773,1248,8,,1,,5,2
"For almost 11 years, Wil Ross has been a part of the Hickman soccer program, including playing for the Kewpies for 4 seasons. He is looking to continue this trend for many years to come, as he now serves as the coach for both the boys and girls teams. http://bit.ly/1Szrrtm",4/27/16 8:03,1150,1857,13,,2,,13,2
"Today's front page features April showers, rezoning hearing for new Hillel housing, shootings in Columbia, and the state Ethics Commission. Our e-edition: http://bit.ly/1rgOD91",4/27/16 6:05,1615,4256,4,,,,,1
"Mizzou Hillel has plans to tear down its current building and develop an apartment building with a space for the center in its place. The group, along with a development company, will have its first rezoning hearing with the city council May 5. http://bit.ly/1rgIUzV",4/27/16 4:31,4097,6750,232,11,10,5,85,168
Terrell Strayhorn described the topic of race as the &quot;snake in the room&quot; rather than an elephant because &quot;everybody loves elephants.&quot; Strayhorn is a professor at Ohio State University and spoke on MU's campus today about the obstacles facing minority students in college. http://bit.ly/1rgDgxy,4/26/16 20:05,1675,2745,32,,2,,22,9
"The Missouri Senate approved a measure that would exempt some farm data, such as tracking animal diseases, from the state's open-records law. Supporters say the exemptions protect privacy, while critics say this approval raises concerns on governmental transparency. http://bit.ly/1VQSRB2",4/26/16 18:02,841,1383,11,,,,4,8
PHOTO GALLERY: Missourian photographer Mike Krebs captured Tuesday's thunderstorm on film. http://bit.ly/1rgkt5G,4/26/16 16:05,2382,6322,101,,10,,5,74
"Feral hogs are located in 35 counties across the southern part of the state. Wildlife management chief Joel Porath talks about the problems the hogs pose for Missouri's forests and how state authorities are working to control the hog's population. http://bit.ly/1NQaKrl",4/26/16 14:04,1501,2619,19,,1,,10,10
"Mizzou Softball beat Texas A&amp;M Softball 7-1 on Monday, securing the Tigers' first SEC series sweep this season. The Tigers' next two games are a doubleheader at Southeast Missouri State on Wednesday. http://bit.ly/1rfGm4Y",4/26/16 13:38,111,172,4,,,,2,3
"Jason Kander, Missouri Secretary of State and U.S. Senate candidate, offered solutions to the student debt problem: ensuring that students could refinance educational loans and capping interest rates on federal student loans.",4/26/16 12:33,1501,2574,57,1,19,2,13,35
"Do you have any expired, unused or unwanted prescription drugs? This Friday and Saturday the Youth Community Coalition will take them at various locations and give them to the Drug Enforcement Agency for proper disposal. http://bit.ly/1QyL7Lr",4/26/16 11:28,661,1097,10,1,,,4,9
"Saddened by the passing of Prince, Carl Kenney reflects on the life Prince led and the legacy he has left behind. Kenney says Prince challenged gender roles, race and spirituality. http://bit.ly/1SHOWCw",4/26/16 10:45,1571,2589,24,3,8,,11,13
"Missouri is trying to find solutions to the insufficient health care issue in rural areas. One of the programs that has been put in place is the Missouri Telehealth Network, which uses video conferencing to connect rural patients to specialty doctors.",4/26/16 9:37,1107,1851,11,,2,,6,4
City staff are looking into a new hybrid option for southwest Columbia's transmission project. City Council will discuss options for the powerline project at a work session on May 16. http://bit.ly/1QxTLdc,4/26/16 8:06,958,1608,19,,,,18,1
"Severe weather is headed our way. Missourian editor John Schneller breaks down what to expect from the storms headed our way, including possible hail, in this quick video.",4/26/16 7:11,4120,10667,219,5,25,4,1,202
"Today's front page features a recently discovered 95-year-old Navy tugboat, college affordability, the Nauser recall vote, and a hybrid plan for a transmission line. Our e-edition: http://bit.ly/1QxY5t8",4/26/16 6:00,1591,4526,7,,,,,3
"The Hickman girls soccer team defeated Tolton 7-0 on Monday night at Hickman. It was the 11th game in 14 days for Tolton, and the Trailblazers have another game scheduled for today. http://bit.ly/1re5tFj",4/26/16 4:04,328,485,6,,1,,3,3
"After 25 years of management by St. Louis-based BJC HealthCare, Boone Hospital Center will consider takeover proposals from several companies, including MU Health Care. The hospital's lease expires in December 2020. http://bit.ly/1SG0UwL",4/25/16 18:24,336,520,9,,,,6,3
"Yong Chong Rastorfer experiences cultural differences within her own family. She feels connected to her Korean roots when she attends Korean church, but also takes her son to an English-speaking church because he doesn't speak Korean. For more stories like Yong Chong Rastorfer's, visit our Cultivating Connections special section: http://bit.ly/1NujCIh",4/25/16 16:30,2395,5849,7,,,,,5
"Candidate for Missouri governor Catherine Hanaway said she prosecuted more than 4,000 cases as a federal prosecutor. That means she would have had to prosecute an average of at least three cases a day.",4/25/16 14:33,608,924,18,,1,,15,4
"According to Steve and Cokie Roberts, Bernie Sanders is leading the Republican party to a presidential victory. http://bit.ly/1T0kpwV",4/25/16 13:15,1763,3000,76,5,2,,34,52
Columbia resident Joe Dillard has a &quot;Snake Recovery Kit&quot; and is saving snakes from lawnmowers one rescue mission at a time.,4/25/16 12:24,1085,1798,27,1,3,,16,13
"After battling through a pitching duel, No. 19 University of Missouri Softball Team defeated No. 16 Texas A&amp;M yesterday. The Tigers play the final game of series tonight at 6 p.m. http://bit.ly/1rcRxeN",4/25/16 11:22,256,448,0,,,,,
"VIDEO: Rachel Doisy, a TRYPS employee, transformed into Cinderella for the second annual Fairy Tale 5K at Stephens Lake Park. She recently accepted a position with the Disney College program during the fall semester. http://bit.ly/23VIFMf",4/25/16 9:41,772,1303,11,,,,5,6
"Want to learn more about what MU and the UM System are doing to address race issues? Our guide contains information about new hires, diversity training, the presidential search and more. http://bit.ly/1rcy2D7",4/25/16 8:22,2074,3668,81,,11,1,48,32
Stephens College seniors collaborating for the 72nd Student Designer Fashion Show and city officials and developer Mike Tompkins setting aside land to preserve nature are among this week's most-read stories. Read all the stories here. http://bit.ly/1SGdoYc,4/25/16 6:19,1161,1924,16,,1,,15,1
"Missourian photographers focused on the details that make the story this week. &quot;Sometimes the little things can relay a certain point as much as an interaction,&quot; Missourian photographer Kelsey Walling said. http://bit.ly/1SYkelD",4/25/16 4:20,985,1571,16,,,,12,5
"On Sunday, a portion of Elm Street was transformed into Eco Avenue and filled with booths of 200 vendors. Sutu Forte and her nonprofit organization &quot;It's Our Wild Nature&quot; made head wreaths out of invasive species to attendees of the Columbia Earth Day Coalition's Earth Day Festival. http://bit.ly/1Qw9KIO",4/24/16 20:34,2474,3924,96,2,27,3,52,46
"PolitiFact Missouri fact checked a claim by Catherine Hanaway, former Speaker of the Missouri House of Representatives. She said, &quot;As a former federal prosecutor, I prosecuted over 4,000 cases.&quot; This claim was rated &quot;True.&quot; http://bit.ly/1MRqnEa",4/24/16 18:00,1368,2229,20,1,2,1,15,5
"Residents of The Gates neighborhood will soon gain access to a new nature area, thanks to cooperation between developer Mike Tompkins and the Columbia Parks and Recreation Department. Using park sales tax revenue, the city will purchase the 66-acre tract for $360,000, a steal compared to the property's estimated value of $1.4 million. http://bit.ly/1raGhj7",4/24/16 16:00,676,959,12,,1,,6,6
"Gary Oxenhandler retired Wednesday after serving as the 13th Circuit Court Judge for more than a decade. “It was never a job, always a joy,” Oxenhandler said of his time as a judge. http://bit.ly/1Qw3Mrl",4/24/16 14:35,2427,6510,30,,13,,5,8
Michael Ondaatje opened up the first Unbound Book Festival with a talk on the importance of curiosity and creativity.,4/24/16 12:34,201,288,4,,,,2,3
"About 50 Planned Parenthood supporters rallied outside the organization's Columbia location Saturday morning, chanting and holding signs, while abortion-rights opponents set up a podium for speakers on the opposite side of the street. http://bit.ly/1pu4zmE",4/24/16 11:20,723,1072,22,,1,,19,3
"Jabberwocky Studios, Inc wants to lower barriers to entry to art, dance, music and theater classes. The studio welcomes children and adults from Columbia's diverse community, and allows families to pay whatever price they can afford, even if it means not paying at all.",4/24/16 10:15,5484,9384,276,16,177,23,65,129
"The sun is shining today, and Peace Park will be filled with food, music and vendors as a part of Earth Day festivities. Parking is free downtown on Sunday, so if you're looking for something to do, head out to Elm Street at noon. http://bit.ly/1Tqtja2",4/24/16 8:04,181,278,3,,1,,1,1
"Today's front page features the Progress edition about building bridges to cross cultural lines, custodial staff turnovers in Columbia Public Schools and a Planned Parenthood protest and counter-protest. Our e-edition: http://bit.ly/1SEwkGM",4/24/16 6:20,1870,5237,15,,1,,2,5
"Lloyd Gaines was denied admission in 1936 to the MU School of Law because of his race, so he took his case to court. He pursued the case for years, until one day when he went to buy some stamps and went missing. He was never found. Gaines was a launching point to talk about racial injustice at Unbound Book Festival. http://bit.ly/22XQriI",4/23/16 20:23,422,634,11,,2,1,5,6
"VIDEO: Rachel Doisy, a TRYPS employee, dresses as Cinderella for the second annual Fairy Tale 5K in Stephens Lake Park. http://bit.ly/1WjxuH2",4/23/16 18:40,2408,4021,49,1,7,1,33,21
"An anti-abortion group kicked off the first nationwide protest against Planned Parenthood on Saturday in Columbia. Counter-protesters, who support Planned Parenthood, lined up in front of the building on Providence Road to challenge the anti-abortion group and express their discontent with Sen. Kurt Schaefer. http://bit.ly/1Ua87ay",4/23/16 16:54,2757,4726,202,2,9,1,127,93
"DEAR READER: The printed newspaper is still alive and breathing. This week, a picture of a tulip and a poem were a breath of fresh air for our print edition. http://bit.ly/1NGtbP9",4/23/16 14:01,139,225,6,,1,,3,3
"In 2015, Columbia’s diversion rate — the percentage of plastic items not placed in a landfill — was 17 percent, while the national average was 34 percent.",4/23/16 12:11,1900,3075,57,,4,1,33,20
"Walkers rallied for cancer awareness and research Friday night during Relay for Life of Mizzou. Teams raised more than $65,000. http://bit.ly/1SCyyGP",4/23/16 10:06,1297,2324,20,,6,1,12,6
"St. Luke Greek Orthodox Church is within Greek tradition, but Rev. Michael Monos says people of many other nationalities make up the congregation because it's the only Orthodox church in Columbia.",4/23/16 8:22,2411,4007,64,1,14,1,44,17
"After over a decade of service, 13th Circuit Court judge Gary Oxenhandler retired from the bench on Wednesday. On Friday, roughly 400 of Oxenhandler's family members, friends and coworkers gathered at The Blue Note to celebrate his distinguished legal career. Columbia lawyer Jeff Harris will fill in for Oxenhandler until a successor is elected this November. http://bit.ly/1SC9iR0",4/23/16 6:00,1345,2141,37,,7,,13,21
"A contract agreement to raise wages for custodians is part of a plan to address turnover of custodial staff at Columbia Public Schools. If approved, the contract would raise the lowest hourly rate of pay from $9.14 to $10, and the highest hourly rate, now $16.27, to $20.34 as of July 1. http://bit.ly/1NGnIYJ",4/22/16 20:10,232,365,3,,,,1,2
".Vox Magazine now needs your memories on favorite #CoMoments in this survey. Do not hesitate to tell them, and they will gather up a few to include in an upcoming article. http://bit.ly/1WKSI13",4/22/16 18:06,91,153,3,,,,2,1
"An annual Earth Day Festival held by Columbia Earth Day Coalition will have up to 200 vendors at Peace Park on Sunday. The booths will be on Elm Street and the Circle Drive by the Columns. Anyone is welcome to attend, with the festival starting at noon. http://bit.ly/1Vqm6u7",4/22/16 16:12,174,290,6,,1,,3,2
"FBI Special Agent Chad John shared several tools with the public earlier this month that are imperative in preventing identity theft. &quot;Do credit freezes, keep information like birthdays private and constantly check transactions on accounts,&quot; John said.",4/22/16 14:10,1046,1649,13,,1,,10,3
"“I think that graduate students should be graduate students first and workers second,” Interim Chancellor Hank Foley said at a Faculty Council meeting on Thursday. Foley pointed to progressive steps the University has made in graduate students' rights when faced with their request for collective bargaining.",4/22/16 13:03,320,428,7,,,1,2,5
Attention all book lovers! Columbia will have its first-ever book festival this weekend with panels on Friday night and all day Saturday that are open to the public.,4/22/16 12:23,72,114,1,,,,,1
"Three years ago today, @[Stephens College] ’s environmental club &quot;Women of the Earth&quot; and Stephens' students decorated a tree sculpture with recycled ornaments to celebrate Earth Day. The club adviser, Jenna Andrews-McClymont, said the activity raised awareness about recycling and repurposing waste.",4/22/16 11:03,683,1078,5,,2,,2,2
More than half of the Columbia College women's volleyball team calls other countries home. The college has a long history of encouraging and transitioning international students.,4/22/16 10:47,1095,1767,20,,11,2,8,6
"As McDavid left and Treece took over as mayor Monday, columnist George Kennedy notes what could have been a &quot;collision&quot; of past and the future leadership styles and wonders about its implications for the future. http://bit.ly/1VofoVn",4/22/16 8:06,1159,1882,28,,1,,23,7
"&quot;Prince was actually one of the few artists of the period that I enjoyed, because once again through the eclecticism of the music, to me, it justified my own tastes,&quot; Hitt Records employee Eric Butterwick said Thursday after learning of the music legend's death. http://bit.ly/22Tn80A",4/22/16 7:23,1110,1888,18,,3,,10,6
Today's front page features FFA Convention; Foley on student unionization; and Prince's inspiration. Check out our e-edition: http://bit.ly/1r3dGwb,4/22/16 6:07,1512,3524,6,,,,1,
"At Thursday's Faculty Council meeting MU Interim Chancellor Hank Foley said graduate students should be &quot;students first, workers second&quot; after graduate students voted to unionize. He also addressed the budget deficit and projected enrollment. http://bit.ly/1SzrFWB",4/22/16 4:11,2246,3699,97,5,2,,59,48
"When Linda Lafontaine was in high school in the 1960s — before Title IX — athletic opportunities for women were almost nonexistent. Now, at 65, Lafontaine started the group Older Women On Weights and is in training to set a world record at the World Weightlifting Championships this summer.  http://bit.ly/1NEqptV",4/21/16 20:11,1655,2772,46,,19,4,19,18
"A Missouri House bill would change the name of U.S. 63 in two sections to memorialize fallen servicemen previously honored on a monument. The servicemen, Navy Lieutenant Patrick Connor and Army Specialist Steven Paul Farnen, were killed in the Persian Gulf War. http://bit.ly/1WIRraQ",4/21/16 18:15,1024,1616,18,,4,,8,9
"&quot;It doesn't reflect the Missouri I know,&quot; said Michael Sam, former Mizzou defensive end. Sam spoke out against a proposed Missouri bill that would let businesses deny services for same-sex weddings.  http://bit.ly/1NEbhfU*This post has been edited to correct Sam's position on the football team.",4/21/16 16:00,1900,3108,101,7,21,,16,80
"More soccer could be coming Columbia's way. Columbia Parks and Recreation plans to build two more fields at the Gans Creek Recreation Area, but they want to know what residents think about an additonal concession and restroom facility for the fields.  http://bit.ly/1Wg3OdW",4/21/16 14:10,754,1242,9,,1,,4,5
"For thousands of college students who receive a script for Adderall, the drug can mean a saved academic career. For others it can induce depression, anxiety and psychosis.",4/21/16 13:05,2929,5422,174,,9,4,106,87
"Dala Dunn began scrapbooking 15 years ago as a way to capture memories and retell her stories. If you're not a fan of scrapbooking, Dunn gives a few reasons why you might want to reconsider.",4/21/16 12:05,826,1371,10,,3,1,8,2
"Despite remaining on the MU payroll, former Chancellor Loftin said he is still uncertain of his current job title.",4/21/16 11:05,199,296,9,,,,8,2
"For the last four years, Sharif Abdul-Hakim has worked to fill the need for halal desserts in Columbia. His solution is the honey bean pie, a dessert widely enjoyed by many individuals in the African-American Muslim community.",4/21/16 10:05,2033,3318,62,4,18,1,23,32
Sophomore forward Jakeenan Gant has officially asked to be released from the Missouri men's basketball program. Gant was the last remaining player from coach Kim Anderson's first recruiting class.,4/21/16 9:16,1801,3056,71,1,4,2,38,38
"Gregory McClain, a former University Hospital surgeon, and his family held a news conference Wednesday to refute stalking allegations raised against him earlier this month. &quot;My husband's name in the newspaper negatively is not the norm — it never was,&quot; said his wife, Sybil McClain. http://bit.ly/1SlKd7d",4/21/16 8:01,2019,3369,107,,,,93,19
Today's front page features Loftin's position; UM System budget; and grad student union. Check out our e-edition: http://bit.ly/1NCp6vi,4/21/16 6:07,1545,3950,9,,,,,1
"UM System budget cuts for the upcoming fiscal year will be $9.75 million smaller than previously thought, state legislators decided Wednesday. The system will also be eligible for a 4 percent performance-based funding increase. http://bit.ly/1SlFTF5",4/21/16 4:06,2164,3456,105,1,9,1,46,60
"Former MU chancellor R. Bowen Loftin says he has been working for the university, despite the fact that his agreed upon position with the Tiger Institute of Health never materialized. http://bit.ly/1WeRquB",4/20/16 19:02,2107,3487,99,,5,,67,41
"Former Missouri swimmer Dominique Bouchard's training has been long, lonely and brutal, but Bouchard has made the necessary adjustments to earn a spot to swim in the 2016 Summer Olympics in Rio de Janeiro. http://bit.ly/1r10cky",4/20/16 18:45,2052,3213,50,2,17,4,22,16
"Sen. Kurt Schaefer has thrown Missouri's relationship with Planned Parenthood into the national spotlight, columnist David Rosman writes.",4/20/16 16:33,1168,1945,36,,2,,29,10
"Special educator Angela Rogers challenges the thinking that special education is a lifelong sentence for a student. &quot;I have had the extreme pleasure of dismissing several students over the course of my career,&quot; Rogers said.",4/20/16 14:31,285,547,8,,,,4,5
Sixth-grader Kael Miranda is the best speller in Columbia and knows words like &quot;rhytidome&quot; and &quot;wiesenboden.&quot; You can watch him compete in the ESPN-televised Scripps National Spelling Bee next month!,4/20/16 13:23,1280,2010,22,,10,1,9,5
"This year's annual Missourian Progress Edition is based on the theme of race in our community. Rather than focusing on obstacles and problems, these stories focus on progress and finding solutions. http://bit.ly/1WeaNUw",4/20/16 12:05,308,511,11,,3,,7,1
"Having participated in the Columbia Area Earth Day Festival for more than 15 years, Jeni Schierbecker was surprised to find that most people don't recycling. She said at last year's festival that she hopes people will learn to separate their trash and recycle when possible.",4/20/16 11:03,218,344,4,,,,4,
"Over 1,000 students in Columbia Public Schools do not use English as their first language. The English Language Learners program aims to teach these students the language in a school setting while keeping them included in the whole classroom's activities. http://bit.ly/1ph3FKg",4/20/16 10:06,1362,2168,36,2,12,1,9,22
TED is coming to town. Faculty and students will be tackling topics from activism to world news on Saturday at the second TEDxMU Summit.  http://bit.ly/1SudNgf,4/20/16 8:13,85,122,1,,,,,1
"Today's front page features springtime gardening, a sixth-grader's path to the Scripps National Spelling Bee, and MU graduate students voting to unionize. Read our e-edition here: http://bit.ly/1qYfbLV",4/20/16 6:11,2036,5966,11,,2,,1,3
